manufacturer,model,source_grade,existing_sxm_profile,official_landing_url,findings,gaps,source_manifest,source_files,source_urls
Akai Professional,APC mini mk2,ready-for-extraction,False,https://www.akaipro.com/downloads-and-support/downloads/,"Protocol maps clip pads 0x00–0x3F, track buttons 0x64–0x6B, scenes 0x70–0x77 and Shift 0x7A. Absolute faders CC 0x30–0x38 channel 0 port 0. LED Note-On channel specifies brightness/pulse/blink, velocity specifies palette. Owner guide v1.7 documents Ableton Port 2 input setup and editable Note Mode scale/octave/layout.",Ready to extract scalar subset only. Official user guide v1.7 recovered after earlier candidate path failures.; Session port 0 differs from Drum mode channel 09 and Note mode port 1/channel 00. Do not merge port/channel addresses.; RGB behavior channel is not necessarily input channel. Full custom RGB and initialization use SysEx. Source has literal typos (00x4F) and initialization response length ambiguity.,inmusic/manifest.json,inmusic/apc-mini-mk2/APC_mini_mk2_-_Communication_Protocol_-_v1.0.pdf | inmusic/apc-mini-mk2/APC_mini_mk2_User_Guide_v1.7.pdf,https://cdn.inmusicbrands.com/akai/attachments/APC%20mini%20mk2%20-%20Communication%20Protocol%20-%20v1.0.pdf | https://cdn.inmusicbrands.com/akai/apc-mini-mkii/APC%20mini%20mk2%20-%20User%20Guide%20-%20v1.7.pdf
Akai Professional,APC40 mkII,ready-for-extraction,False,https://www.akaipro.com/downloads-and-support/downloads/,"Protocol provides input Note IDs, absolute CCs, relative controls, LED/ring receive tables. Channel fields are zero-based; track faders use CC 0x07 on channels 0–7. Cue Level CC 0x2F and Tempo CC 0x0D have relative encoding +1..63 / -64..-1 as 64..127.","Mode 0 starts by default; track-selection changes banks without sending selection MIDI, and some buttons toggle. Modes 1/2 require SysEx introduction and have different host LED ownership.; Channel normalization must preserve zero-based source indexing. Ring style feedback and initialization exceed a simple per-control scalar mapping.; Source contains duplicated/misaligned labels and Cue Level in both absolute and relative tables; reconcile before import.",inmusic/manifest.json,inmusic/apc40-mkii/APC40Mk2_Communications_Protocol_v1.2.pdf | inmusic/apc40-mkii/APC40_mkII_User_Guide_v1.0.pdf,https://cdn.inmusicbrands.com/akai/attachments/apc40II/APC40Mk2_Communications_Protocol_v1.2.pdf | https://cdn.inmusicbrands.com/akai/attachments/apc40II/APC40%20mkII%20-%20User%20Guide%20-%20v1.0.pdf
Akai Professional,APC64,partial,False,https://www.akaipro.com/downloads-and-support/downloads/,Custom pad notes/channels and fader CCs are user editable. Chord mode channel 1 and drum mode channel 16 in Ableton; global drum notes configurable.,"No complete fixed MIDI map or host LED receive protocol acquired. Custom preset must be captured alongside profile.; Faders support Single (1 CC) or Double (2 CC); manual does not establish double-message numeric interpretation. Pads can send poly aftertouch, outside scalar Note/CC.; Editor color settings document local on/off behavior, not proof of host LED receive messages.",inmusic/manifest.json,inmusic/apc64/APC64_-_User_Guide_-_v1.0.pdf,https://cdn.inmusicbrands.com/akai/APC64/APC64%20-%20User%20Guide%20-%20v1.0.pdf
Akai Professional,MPD218,partial,False,https://www.akaipro.com/downloads-and-support/downloads/,Pads/knobs have three banks and 16 programs. Knobs send continuous-controller data. NR Config and Prog Select suppress normal pad MIDI while held.,No preset documentation or editor guide acquired; factory note/CC/channel assignments unresolved.; Pressure-sensitive pads and MIDI clock repeat cannot be reduced to Note/CC-only semantics. No LED receive protocol established.,inmusic/manifest.json,inmusic/mpd218/MPD218-UserGuide-v1.0.pdf,https://cdn.inmusicbrands.com/akai/attachments/MPD218/MPD218-UserGuide-v1.0.pdf
Allen & Heath,Xone:92 Mk2,ready-for-extraction,False,https://www.allen-heath.com/content/uploads/2024/10/Xone92-Mk2-User-Guide.pdf,"Small, explicit transmit-only implementation: filters CC12/13, crossfader CC92, optional internally configured data CC94. Clock/start-stop exceed current simple Note/CC scope.",,ni-hercules-ah/xone-92-mk2/manifest.json,ni-hercules-ah/xone-92-mk2/manual.pdf,https://www.allen-heath.com/content/uploads/2024/10/Xone92-Mk2-User-Guide.pdf
Allen & Heath,Xone:96,ready-for-extraction,False,https://support.allen-heath.com/hc/en-gb/articles/43053562464017-Xone-96-User-Guide,"PDF endpoints returned 403, but official full HTML user guide and MIDI implementation tables downloaded successfully. Explicit numeric send/receive matrix supports extraction.",,ni-hercules-ah/xone-96/manifest.json,ni-hercules-ah/xone-96/manual.html | ni-hercules-ah/xone-96/midi.html,https://support.allen-heath.com/hc/en-gb/articles/43053562464017-Xone-96-User-Guide | https://support.allen-heath.com/hc/en-gb/articles/43084536824849-Xone-96-MIDI-Implementation
Allen & Heath,XONE:K1,ready-for-extraction,True,https://www.allen-heath.com/content/uploads/2023/07/XoneK1_UG_AP9694_2.pdf,Original official PDF already archived; separate extracted text added here for indexing.,,ni-hercules-ah/xone-k1/manifest.json,../../../XtremeMapping/docs/controllers/xone-k1/sources/XoneK1_UG_AP9694_2.pdf,https://www.allen-heath.com/content/uploads/2023/07/XoneK1_UG_AP9694_2.pdf
Allen & Heath,XONE:K2,ready-for-extraction,True,https://www.allen-heath.com/content/uploads/2023/06/XoneK2_UG_AP8509_3.pdf,Original official PDF already archived; separate extracted text added here for indexing.,,ni-hercules-ah/xone-k2/manifest.json,../../../XtremeMapping/docs/controllers/xone-k2/sources/XoneK2_UG_AP8509_3.pdf,https://www.allen-heath.com/content/uploads/2023/06/XoneK2_UG_AP8509_3.pdf
Allen & Heath,XONE:K3,ready-for-extraction,True,https://support.allen-heath.com/hc/article_attachments/39744783045009,Factory Map(1) matches K2; per-control custom map and global channel choices require separate profile assumptions.,,ni-hercules-ah/xone-k3/manifest.json,../../../XtremeMapping/docs/controllers/xone-k3/sources/midi-send-01.png | ../../../XtremeMapping/docs/controllers/xone-k3/sources/midi-send-02.png | ../../../XtremeMapping/docs/controllers/xone-k3/sources/midi-send-03.png | ../../../XtremeMapping/docs/controllers/xone-k3/sources/midi-return-02.png | ../../../XtremeMapping/docs/controllers/xone-k3/sources/midi-return-01.png | ../../../XtremeMapping/docs/controllers/xone-k3/sources/Xone-K3-User-Guide.txt | ../../../XtremeMapping/docs/controllers/xone-k3/sources/Xone-Controller-Editor-Help.txt,https://support.allen-heath.com/hc/article_attachments/39744783045009 | https://support.allen-heath.com/hc/article_attachments/39744774054673 | https://support.allen-heath.com/hc/article_attachments/39744783047313 | https://support.allen-heath.com/hc/article_attachments/39744783050257 | https://support.allen-heath.com/hc/article_attachments/39744774056977 | https://support.allen-heath.com/hc/en-gb/articles/39744774067985-Xone-K3-User-Guide | https://support.allen-heath.com/hc/en-gb/articles/39744832920081-Xone-Controller-Editor-Help
Allen & Heath,Xone:PX5,partial,False,https://www.allen-heath.com/content/uploads/2023/06/AP10733_2_XONE_PX5_USER_GUIDE.pdf,"Extensive MIDI controls documented, but note names use C-2 in mapping while conversion table maps zero to C-1. Do not silently normalize conflicting octaves. CC portion is extractable; resolve Note numbers and return-value details first.",,ni-hercules-ah/xone-px5/manifest.json,ni-hercules-ah/xone-px5/manual.pdf | ni-hercules-ah/xone-px5/midi.html,https://www.allen-heath.com/content/uploads/2023/06/AP10733_2_XONE_PX5_USER_GUIDE.pdf | https://support.allen-heath.com/hc/en-gb/articles/43523536283409-Xone-PX5-MIDI-Control
